,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Gen-SpeedReward-v0,404,9.523109764543488,2001,2,4.95187520980835,,,,0.0
1,MetaDrive-Gen-SpeedReward-v0,341,7.152135060204687,3572,4,10.44621205329895,,,,0.0
2,MetaDrive-Gen-SpeedReward-v0,357,7.516579099230396,4573,5,12.775261878967285,,,,0.0
3,MetaDrive-Gen-SpeedReward-v0,358,7.965772854212049,5574,6,15.559186935424805,,,,0.0
4,MetaDrive-Gen-SpeedReward-v0,372,8.148561145988975,6575,7,17.64226508140564,,,,0.0
5,MetaDrive-Gen-SpeedReward-v0,377,8.469259729128579,7576,8,20.048803091049194,,,,0.0
6,MetaDrive-Gen-SpeedReward-v0,387,8.386066616140642,8577,9,22.156825065612793,,,,0.0
7,MetaDrive-Gen-SpeedReward-v0,399,8.499650034300767,9578,10,23.95299506187439,,,,0.0
8,MetaDrive-Gen-SpeedReward-v0,361,8.462525852542381,10064,11,27.816418170928955,0.010786257684230804,,0.0013639319222420454,0.0
9,MetaDrive-Gen-SpeedReward-v0,109,0.6696632828863471,11732,39,106.84304523468018,0.020505541935563087,,0.3853546380996704,0.0
10,MetaDrive-Gen-SpeedReward-v0,86,0.7763429860951636,12733,40,147.3245780467987,0.06612811982631683,-0.02794244885444641,0.009719761088490486,0.0
11,MetaDrive-Gen-SpeedReward-v0,77,0.7204740389429813,13350,41,171.47475409507751,0.06447773426771164,,0.005429190117865801,0.0
12,MetaDrive-Gen-SpeedReward-v0,67,1.0772547638434369,14016,46,208.33970403671265,0.07968787848949432,,0.004505618009716272,0.0
13,MetaDrive-Gen-SpeedReward-v0,58,2.738673025533461,15054,50,259.4265470504761,0.10520486533641815,,0.1493261307477951,0.0
14,MetaDrive-Gen-SpeedReward-v0,52,3.235101683431374,16059,63,305.65696001052856,0.1836613565683365,-0.16531948745250702,0.018223263323307037,0.0
15,MetaDrive-Gen-SpeedReward-v0,47,4.804956498154089,17083,78,356.5603210926056,0.26983511447906494,-0.24597665667533875,0.029670938849449158,0.0
16,MetaDrive-Gen-SpeedReward-v0,45,5.557242885106386,18044,95,400.41036009788513,0.3735277056694031,,0.24789859354496002,0.0
17,MetaDrive-Gen-SpeedReward-v0,42,6.7064152975139795,19023,112,445.55784702301025,0.5059912800788879,-0.5845574140548706,0.7151193618774414,0.0
18,MetaDrive-Gen-SpeedReward-v0,40,10.288149164191386,20044,130,493.7371530532837,0.754013180732727,,0.27988171577453613,0.0
19,MetaDrive-Gen-SpeedReward-v0,39,14.126284356448991,21022,145,538.1702568531036,1.0555208921432495,,0.6720267534255981,0.0
20,MetaDrive-Gen-SpeedReward-v0,37,17.009176749993806,22028,159,584.2446970939636,1.4411776065826416,,1.1286673545837402,0.0
21,MetaDrive-Gen-SpeedReward-v0,36,20.11339796454088,23012,171,629.6892220973969,1.8734543323516846,,1.5614458322525024,0.0
22,MetaDrive-Gen-SpeedReward-v0,35,24.637992358867535,24221,182,684.6173932552338,2.6044678688049316,-2.7747790813446045,0.6564956903457642,0.0
23,MetaDrive-Gen-SpeedReward-v0,34,27.397134759363357,25032,191,720.936497926712,2.7964892387390137,,0.15113085508346558,0.0
24,MetaDrive-Gen-SpeedReward-v0,33,32.49236990180151,26035,197,769.2035682201385,3.5643270015716553,-3.4549429416656494,1.6560200452804565,0.01
25,MetaDrive-Gen-SpeedReward-v0,33,36.321364737846686,27028,206,813.2488231658936,4.16164493560791,,0.45028650760650635,0.01
26,MetaDrive-Gen-SpeedReward-v0,32,41.62192091661473,28101,212,862.6849479675293,4.582303524017334,-4.830629825592041,3.18552565574646,0.02
27,MetaDrive-Gen-SpeedReward-v0,32,46.35574307983399,29028,218,907.0039732456207,5.299468040466309,,5.958352088928223,0.02
28,MetaDrive-Gen-SpeedReward-v0,31,50.57606192880719,30081,226,955.7919092178345,6.280664443969727,-6.721431255340576,3.8309874534606934,0.02
29,MetaDrive-Gen-SpeedReward-v0,31,55.28542536723259,31100,232,1002.1751279830933,6.758923053741455,,1.9009485244750977,0.02
30,MetaDrive-Gen-SpeedReward-v0,30,59.562905328477264,32070,240,1043.1148970127106,7.522130489349365,,1.9765708446502686,0.02
31,MetaDrive-Gen-SpeedReward-v0,30,63.614955775958535,33099,247,1086.1801578998566,7.956385612487793,-8.285843849182129,4.51385498046875,0.02
32,MetaDrive-Gen-SpeedReward-v0,30,69.02423685190028,34106,252,1128.9412670135498,8.768769264221191,,3.8023948669433594,0.03
33,MetaDrive-Gen-SpeedReward-v0,29,73.10481384223563,35038,257,1169.0303440093994,9.798710823059082,,0.929694414138794,0.04
34,MetaDrive-Gen-SpeedReward-v0,29,77.43187005653328,36060,262,1217.8530371189117,10.147920608520508,,2.588019371032715,0.05
35,MetaDrive-Gen-SpeedReward-v0,29,83.88182233709884,37703,266,1295.3619120121002,11.064948081970215,-11.499841690063477,4.063349723815918,0.07
36,MetaDrive-Gen-SpeedReward-v0,28,86.46537769042988,38153,267,1316.4454050064087,11.368886947631836,-11.819559097290039,0.8395769596099854,0.08
37,MetaDrive-Gen-SpeedReward-v0,28,92.46688061275506,39207,269,1367.5840702056885,11.601842880249023,-11.968782424926758,3.157489776611328,0.1
38,MetaDrive-Gen-SpeedReward-v0,28,97.12182293650996,40117,271,1407.9159760475159,12.317342758178711,-12.93503475189209,3.8451051712036133,0.12
39,MetaDrive-Gen-SpeedReward-v0,28,101.87106392964233,41221,275,1458.5051310062408,13.06076431274414,-13.3103666305542,2.057291030883789,0.13
